Area_name,Inner_Outer_London,GLA_Population_Estimate,GLA_Household_Estimate_2017,Population_density_(per_hectare)_2017,"Average_Age,_2017",Aged-0-15 ,Working-age,Aged-65-and-over,Proportion_of_resident_population_born_abroad,Largest_migrant_population_by_country_of_birth,Proportion_of_largest_migrant_population,Second_largest_migrant_population_by_country_of_birth_(2011),%_of_second_largest_migrant_population_(2011),Third_largest_migrant_population_by_country_of_birth_(2011),%_of_third_largest_migrant_population_(2011),Proportion_of_population_from_BAME_groups,Proportion_people_whose_main_language_is_not_English,"Overseas_nationals_entering_the_UK_(NINo),_(2015/16)","New_migrant_(NINo)_rates,_(2015/16)",Largest_migrant_population_arrived,Second_largest_migrant_population_arrived_during_2015/16,Third_largest_migrant_population_arrived_during_2015/16,Employment_rate_(%)_(2015),Male_employment_rate,Female_employment_rate,Unemployment_rate_(2015),Proportion_are_benefits,%_working-age_with_a_disability_(2015),Proportion_of_working_age_people_with_no_qualifications_(%)_2015,Proportion_of_working_age_with_degree_or_equivalent_and_above,Gross_Annual_Pay,Gross_Annual_Pay_-_Male_(2016),Gross_Annual_Pay_-_Female_(2016),Modelled_Household_median_income_estimates_2012/13,%_of_employment_that_is_in_public_sector_(2014),Crime_rates_per_thousand_population,Fires_per_thousand_population_(2014),Median_House_Price,"Average_Band_D_Council_Tax_charge_(£),_2015/16",New_Homes_(net)_2015/16_(provisional),"Homes_Owned_outright,_(2014)_%","Being_bought_with_mortgage_or_loan,_(2014)_%","Rented_from_Local_Authority_or_Housing_Association,_(2014)_%","Rented_from_Private_landlord,_(2014)_%",Area_that_is_Greenspace,"Household_Waste_Recycling_Rate,_2014/15","Number_of_cars,_(2011_Census)","Number_of_cars_per_household,_(2011_Census)","%_of_adults_who_cycle_at_least_once_per_month,_2014/15","Average_Public_Transport_Accessibility_score,_2014",Pupils_whose_first_language_is_not_English,%_children_living_in_out-of-work_households_(2015),"Male_life_expectancy,_(2012-14)","Female_life_expectancy,_(2012-14)",Teenage_conception_rate_(2014),Life_satisfaction_score_2011-14_(out_of_10),Worthwhileness_score_2011-14_(out_of_10),Happiness_score_2011-14_(out_of_10),Anxiety_score_2011-14_(out_of_10),Childhood_Obesity,Adults_with_diabetes,Mortality_rate_from_causes_considered_preventable_2012/14
Barking,Outer London,209000,78188,58,32.9,27.2,63.1,9.7,37.8,Nigeria,4.7,India,2.3,Pakistan,2.3,49.5,18.7,7538,59.1,Romania,Bulgaria,Lithuania,65.8,75.6,56.5,11,10.5,17.2,11.3,32.2,27886,30104,24602,29420,21.1,83.4,3,243500,1354,730,16.4,27.4,35.9,20.3,33.6,23.4,56966,0.8,8.8,3,41.7,18.7,77.6,82.1,32.4,7.1,7.6,7.1,3.1,28.5,7.3,228
Barnet,Outer London,389600,151423,45,37.3,21.1,64.9,14,35.2,India,3.1,Poland,2.4,Iran,2,38.7,23.4,13094,53.1,Romania,Poland,Italy,68.5,74.5,62.9,8.5,6.2,14.9,5.2,49,33443,36475,31235,40530,18.7,62.7,1.6,445000,1397.1,1460,32.4,25.2,11.1,31.1,41.3,38,144717,1.1,7.4,3,46,9.3,82.1,85.1,12.8,7.5,7.8,7.4,2.8,20.7,6,134
Bexley,Outer London,244300,97736,40,39,20.6,62.9,16.6,16.1,Nigeria,2.6,India,1.5,Ireland,0.9,21.4,6,2198,14.4,Romania,Poland,Nigeria,75.1,82.1,68.5,7.6,6.8,15.9,10.8,33.5,34350,37881,28924,36990,15.9,51.8,2.3,275000,1472.4,-130,38.1,35.3,15.2,11.4,31.7,54,108507,1.2,10.6,2.6,32.6,12.6,80.4,84.4,19.5,7.4,7.7,7.2,3.3,22.7,6.9,164
Brent,Outer London,332100,121048,77,35.6,20.9,67.8,11.3,53.9,India,9.2,Poland,3.4,Ireland,2.9,64.9,37.2,22162,100.9,Romania,Italy,Portugal,69.5,76,62.6,7.5,8.3,17.7,6.2,45.1,29812,30129,29600,32140,17.6,78.8,1.8,407250,1377.2,1050,22.2,22.6,20.4,34.8,21.9,35.2,87802,0.8,7.9,3.7,37.6,13.7,80.1,85.1,18.5,7.3,7.4,7.2,2.9,24.3,7.9,169
Bromley,Outer London,327900,140602,22,40.2,19.9,62.6,17.5,18.3,India,1.1,Ireland,1.1,Nigeria,0.7,18.9,5.8,2924,14.4,Romania,Italy,Spain,75.3,80.4,70.4,5.3,6,15.9,4.3,46.7,37682,42026,32491,43060,13.9,64.1,2.3,374975,1347.3,700,37.8,34.9,13.2,14.1,57.8,48,153908,1.2,13,2.8,38.9,10.2,81.4,84.9,16.7,7.5,7.9,7.4,3.3,13,5.2,148
Camden,Inner London,242500,107654,111,36.4,17.3,71,11.7,41.4,United States,2.8,Bangladesh,2.7,Ireland,2.4,34.6,23.5,10384,60.7,Italy,France,Spain,69.2,72.2,66.1,4,8.5,21.3,6.1,61.1,39796,.,36632,43750,12.4,123.5,2.7,700000,1359.7,970,18.5,15.1,34.4,32,24.8,26.3,46601,0.5,18.8,5.7,25.2,16.5,81.8,86.7,16.8,7.1,7.4,7.1,3.6,21.3,3.9,164
Croydon,Outer London,386500,159010,45,37,22,64.9,13,29.4,India,3.6,Jamaica,2.5,Ghana,1.5,49.9,14.5,7946,32.3,Romania,Poland,Italy,75.4,81.8,69.5,4.1,7.8,17.5,7,40.6,32696,35839,29819,37000,20.1,77,2.2,300000,1494.1,2040,30.8,33.6,16.7,18.6,37.1,39.9,140049,1,12.8,3.2,36.7,14.1,80.3,83.6,28.4,7.1,7.6,7.2,3.3,24.5,6.5,178
Ealing,Outer London,351600,132663,63,36.2,21.4,66.8,11.8,47.4,India,7.6,Poland,6.4,Ireland,2.3,53.5,33.9,14927,65.2,Poland,Romania,Italy,72.7,81.2,63.8,5.8,7.9,15.2,9.1,49.7,31331,32185,29875,36070,13.6,75.5,1.9,430000,1335.9,720,20.1,30.2,14.3,35,30.9,40.1,112845,0.9,15,3.3,43.6,13.1,80.6,84.2,17.8,7.3,7.6,7.3,3.6,23.8,6.9,164
Enfield,Outer London,333000,130328,41,36.3,22.8,64.4,12.8,35,Turkey,4.5,Cyprus (Not otherwise specified),3.6,Poland,1.9,42.3,22.9,9259,43.8,Romania,Bulgaria,Poland,73,80.4,66,3.8,9.3,18.4,4.5,43.4,31603,35252,30222,33110,21.7,69.4,2.2,320000,1420.2,670,25.6,36.2,17.2,21,45.6,38.5,119653,1,7.9,3,55.3,17.4,80.7,84.1,24.6,7.3,7.6,7.3,2.6,15.2,7,152
Greenwich,Outer London,280100,113964,59,35,21.9,67.7,10.4,35.4,Nigeria,5.1,Nepal,1.9,India,1.7,40.3,16.9,7002,37.6,Romania,Bulgaria,Italy,72.1,77.9,66.3,8.1,9.5,20.2,10.6,42.2,32415,35596,29833,35350,27.3,79.4,2.5,340000,1296.2,1720,19.2,26.9,34.2,19.7,34.4,34.3,78185,0.8,7.7,3.4,44.1,17.1,79,82.5,28.1,7.2,7.6,7.2,3.4,27.7,6.1,193
