Area_Name,Major_Text,Crime_Count
Barking and Dagenham,Burglary,32
Barking and Dagenham,Burglary,44
Barking and Dagenham,Burglary,53
Barking and Dagenham,Burglary,32
Barking and Dagenham,Burglary,42
Barking and Dagenham,Burglary,42
Barking and Dagenham,Burglary,47
Barking and Dagenham,Burglary,32
Barking and Dagenham,Burglary,33
Barking and Dagenham,Burglary,45
Barking and Dagenham,Burglary,41
Barking and Dagenham,Burglary,24
Barking and Dagenham,Burglary,19
Barking and Dagenham,Burglary,119
Barking and Dagenham,Burglary,103
Barking and Dagenham,Burglary,86
Barking and Dagenham,Burglary,73
Barking and Dagenham,Burglary,47
Barking and Dagenham,Burglary,77
Barking and Dagenham,Burglary,63
Barking and Dagenham,Burglary,55
Barking and Dagenham,Burglary,54
Barking and Dagenham,Burglary,49
Barking and Dagenham,Burglary,60
Barking and Dagenham,Burglary,73
Barking and Dagenham,Burglary,100
Barking and Dagenham,Criminal Damage,38
Barking and Dagenham,Criminal Damage,36
Barking and Dagenham,Criminal Damage,39
Barking and Dagenham,Criminal Damage,50
Barking and Dagenham,Criminal Damage,36
Barking and Dagenham,Criminal Damage,58
Barking and Dagenham,Criminal Damage,30
Barking and Dagenham,Criminal Damage,48
Barking and Dagenham,Criminal Damage,38
Barking and Dagenham,Criminal Damage,31
Barking and Dagenham,Criminal Damage,29
Barking and Dagenham,Criminal Damage,32
Barking and Dagenham,Criminal Damage,27
Barking and Dagenham,Criminal Damage,105
Barking and Dagenham,Criminal Damage,75
Barking and Dagenham,Criminal Damage,83
Barking and Dagenham,Criminal Damage,73
Barking and Dagenham,Criminal Damage,61
Barking and Dagenham,Criminal Damage,81
Barking and Dagenham,Criminal Damage,73
Barking and Dagenham,Criminal Damage,69
Barking and Dagenham,Criminal Damage,68
Barking and Dagenham,Criminal Damage,61
Barking and Dagenham,Criminal Damage,68
Barking and Dagenham,Criminal Damage,67
Barking and Dagenham,Criminal Damage,59
Barking and Dagenham,Criminal Damage,10
Barking and Dagenham,Criminal Damage,13
Barking and Dagenham,Criminal Damage,10
Barking and Dagenham,Criminal Damage,21
Barking and Dagenham,Criminal Damage,13
Barking and Dagenham,Criminal Damage,13
Barking and Dagenham,Criminal Damage,18
Barking and Dagenham,Criminal Damage,15
Barking and Dagenham,Criminal Damage,16
Barking and Dagenham,Criminal Damage,11
Barking and Dagenham,Criminal Damage,12
Barking and Dagenham,Criminal Damage,16
Barking and Dagenham,Criminal Damage,8
Barking and Dagenham,Criminal Damage,3
Barking and Dagenham,Criminal Damage,30
Barking and Dagenham,Criminal Damage,5
Barking and Dagenham,Criminal Damage,39
Barking and Dagenham,Criminal Damage,6
Barking and Dagenham,Criminal Damage,42
Barking and Dagenham,Criminal Damage,6
Barking and Dagenham,Criminal Damage,23
Barking and Dagenham,Criminal Damage,5
Barking and Dagenham,Criminal Damage,30
Barking and Dagenham,Criminal Damage,5
Barking and Dagenham,Criminal Damage,45
Barking and Dagenham,Criminal Damage,9
Barking and Dagenham,Criminal Damage,34
Barking and Dagenham,Criminal Damage,5
Barking and Dagenham,Criminal Damage,43
Barking and Dagenham,Criminal Damage,9
Barking and Dagenham,Criminal Damage,35
Barking and Dagenham,Criminal Damage,15
Barking and Dagenham,Criminal Damage,29
Barking and Dagenham,Criminal Damage,3
Barking and Dagenham,Criminal Damage,48
Barking and Dagenham,Criminal Damage,1
Barking and Dagenham,Criminal Damage,31
Barking and Dagenham,Criminal Damage,5
Barking and Dagenham,Criminal Damage,36
Barking and Dagenham,Drugs,5
Barking and Dagenham,Drugs,9
Barking and Dagenham,Drugs,5
Barking and Dagenham,Drugs,3
Barking and Dagenham,Drugs,8
